País,Ciudad,Descripción del País,Hotel Sugerido,Descripción del Hotel,Precio por Noche (USD),Estrellas del Hotel,Lugar Turístico Recomendado,Descripción del Lugar Turístico,Precio Entrada al Lugar (USD),Fechas Disponibles
Alemania,Ourense,"Alemania combina bosques, castillos medievales y ciudades modernas llenas de historia.",Oasis Urbano Ourense,"Ofrece lujo y comodidad en pleno centro, con spa, restaurante gourmet y servicio personalizado.",286.47,4,Castillo de Ourense,Un sitio icónico lleno de belleza natural y vistas impresionantes.,42.0,2025-06-23 a 2025-07-11
Colombia,Palencia,"Colombia es un paraíso lleno de música, montañas verdes y pueblos coloridos.",Hotel Horizonte Palencia,"Un elegante hotel con vistas panorámicas, ideal para relajarse y disfrutar de la cultura local.",297.24,4,Templo de Palencia,Un sitio icónico lleno de belleza natural y vistas impresionantes.,28.28,2025-06-26 a 2025-07-07
Egipto,Sevilla,"Egipto es cuna de civilización, con pirámides milenarias y el majestuoso Nilo.",Oasis Urbano Sevilla,"Ofrece lujo y comodidad en pleno centro, con spa, restaurante gourmet y servicio personalizado.",166.05,4,Mercado local de Sevilla,"Lugar emblemático con gran valor histórico y artístico, ideal para explorar con calma.",20.08,2025-06-30 a 2025-07-14
Francia,Badajoz,"Francia encanta con sus castillos, viñedos, y la romántica ciudad de París.",Hotel Brisas del Sur Badajoz,"Ofrece lujo y comodidad en pleno centro, con spa, restaurante gourmet y servicio personalizado.",115.21,3,Playa de Badajoz,Una joya arquitectónica que representa siglos de historia y cultura del país.,31.88,2025-06-05 a 2025-07-26
Nueva Zelanda,Almería,"Nueva Zelanda es un paraíso natural de montañas, lagos y aventuras extremas.",Casa de los Sueños Almería,"Ofrece lujo y comodidad en pleno centro, con spa, restaurante gourmet y servicio personalizado.",272.15,4,Templo de Almería,Un sitio icónico lleno de belleza natural y vistas impresionantes.,23.58,2025-06-06 a 2025-08-01
Italia,La Coruña,"Italia es el hogar del arte renacentista, la cocina tradicional y paisajes mediterráneos.",Oasis Urbano La Coruña,"Un elegante hotel con vistas panorámicas, ideal para relajarse y disfrutar de la cultura local.",127.39,4,Museo de La Coruña,Un destino perfecto para conectar con la naturaleza y capturar fotos inolvidables.,42.46,2025-06-04 a 2025-07-19
Canadá,Madrid,"Canadá enamora con sus parques nacionales, lagos cristalinos y vida salvaje.",Hotel Azul Marino Madrid,"Situado junto al mar, combina hospitalidad y paisajes inigualables con excelente gastronomía.",60.6,4,Castillo de Madrid,Un destino perfecto para conectar con la naturaleza y capturar fotos inolvidables.,21.1,2025-06-22 a 2025-08-14
Estados Unidos,Salamanca,"Estados Unidos es un mosaico de culturas, naturaleza extensa y metrópolis icónicas.",Hotel Azul Marino Salamanca,"Ofrece lujo y comodidad en pleno centro, con spa, restaurante gourmet y servicio personalizado.",141.91,5,Catedral de Salamanca,"Lugar emblemático con gran valor histórico y artístico, ideal para explorar con calma.",41.62,2025-06-21 a 2025-08-05
Sudáfrica,Ceuta,"Sudáfrica combina safaris, montañas y una diversidad cultural extraordinaria.",Oasis Urbano Ceuta,"Un refugio boutique rodeado de naturaleza, con diseño contemporáneo y ambiente tranquilo.",163.12,4,Centro histórico de Ceuta,Un destino perfecto para conectar con la naturaleza y capturar fotos inolvidables.,17.74,2025-06-18 a 2025-08-01
Perú,Badajoz,"Perú, tierra de los Incas, fascina con Machu Picchu, su cultura viva y sabrosa comida criolla.",Casa de los Sueños Badajoz,"Situado junto al mar, combina hospitalidad y paisajes inigualables con excelente gastronomía.",226.41,3,Rascacielos de Badajoz,Un sitio icónico lleno de belleza natural y vistas impresionantes.,32.09,2025-06-16 a 2025-08-18
Chile,La Coruña,"Chile sorprende con su geografía diversa, desde el desierto más árido hasta glaciares imponentes.",Refugio del Viajero La Coruña,"Un elegante hotel con vistas panorámicas, ideal para relajarse y disfrutar de la cultura local.",181.72,3,Museo de La Coruña,Un destino perfecto para conectar con la naturaleza y capturar fotos inolvidables.,10.77,2025-06-28 a 2025-07-09
Japón,Tarragona,"Japón mezcla tradición y tecnología, con templos antiguos y ciudades futuristas.",Hotel Brisas del Sur Tarragona,"Un elegante hotel con vistas panorámicas, ideal para relajarse y disfrutar de la cultura local.",198.9,3,Catedral de Tarragona,Un destino perfecto para conectar con la naturaleza y capturar fotos inolvidables.,48.33,2025-06-14 a 2025-08-26
Canadá,Córdoba,"Canadá enamora con sus parques nacionales, lagos cristalinos y vida salvaje.",Villa Real Córdoba,"Un elegante hotel con vistas panorámicas, ideal para relajarse y disfrutar de la cultura local.",285.6,4,Castillo de Córdoba,Una joya arquitectónica que representa siglos de historia y cultura del país.,39.71,2025-06-19 a 2025-08-29
Nueva Zelanda,Huesca,"Nueva Zelanda es un paraíso natural de montañas, lagos y aventuras extremas.",Villa Real Huesca,"Situado junto al mar, combina hospitalidad y paisajes inigualables con excelente gastronomía.",204.36,4,Parque Nacional de Huesca,Una joya arquitectónica que representa siglos de historia y cultura del país.,31.55,2025-06-14 a 2025-08-04
México,Toledo,"México deslumbra con su cultura ancestral, playas paradisíacas y su deliciosa gastronomía.",Hotel Brisas del Sur Toledo,"Un refugio boutique rodeado de naturaleza, con diseño contemporáneo y ambiente tranquilo.",259.61,4,Castillo de Toledo,"Lugar emblemático con gran valor histórico y artístico, ideal para explorar con calma.",34.22,2025-06-07 a 2025-07-12
Perú,Burgos,"Perú, tierra de los Incas, fascina con Machu Picchu, su cultura viva y sabrosa comida criolla.",Hotel Brisas del Sur Burgos,"Perfecto para familias, con habitaciones amplias, piscina y acceso a atracciones cercanas.",69.38,4,Templo de Burgos,"Lugar emblemático con gran valor histórico y artístico, ideal para explorar con calma.",38.06,2025-06-28 a 2025-08-02
Japón,Badajoz,"Japón mezcla tradición y tecnología, con templos antiguos y ciudades futuristas.",Casa de los Sueños Badajoz,"Ofrece lujo y comodidad en pleno centro, con spa, restaurante gourmet y servicio personalizado.",64.23,3,Playa de Badajoz,Una atracción reconocida por su ambiente vibrante y experiencias culturales únicas.,29.25,2025-06-22 a 2025-07-15
Corea del Sur,Burgos,"Corea del Sur ofrece cultura pop, comida deliciosa y paisajes de montaña.",Hotel Azul Marino Burgos,"Un elegante hotel con vistas panorámicas, ideal para relajarse y disfrutar de la cultura local.",260.68,3,Parque Nacional de Burgos,Una joya arquitectónica que representa siglos de historia y cultura del país.,37.35,2025-06-30 a 2025-07-13
Corea del Sur,León,"Corea del Sur ofrece cultura pop, comida deliciosa y paisajes de montaña.",Palacio del Sol León,"Un refugio boutique rodeado de naturaleza, con diseño contemporáneo y ambiente tranquilo.",167.07,3,Playa de León,"Lugar emblemático con gran valor histórico y artístico, ideal para explorar con calma.",10.13,2025-06-03 a 2025-08-27
Japón,Zaragoza,"Japón mezcla tradición y tecnología, con templos antiguos y ciudades futuristas.",Oasis Urbano Zaragoza,"Ofrece lujo y comodidad en pleno centro, con spa, restaurante gourmet y servicio personalizado.",145.73,5,Parque Nacional de Zaragoza,"Lugar emblemático con gran valor histórico y artístico, ideal para explorar con calma.",28.06,2025-06-15 a 2025-08-02
España,Vizcaya,"España es un país vibrante con una mezcla de historia, arquitectura única y playas impresionantes.",Hotel Horizonte Vizcaya,"Perfecto para familias, con habitaciones amplias, piscina y acceso a atracciones cercanas.",298.64,3,Museo de Vizcaya,"Lugar emblemático con gran valor histórico y artístico, ideal para explorar con calma.",23.47,2025-06-05 a 2025-08-13
Colombia,Teruel,"Colombia es un paraíso lleno de música, montañas verdes y pueblos coloridos.",Refugio del Viajero Teruel,"Perfecto para familias, con habitaciones amplias, piscina y acceso a atracciones cercanas.",195.47,4,Parque Nacional de Teruel,Una atracción reconocida por su ambiente vibrante y experiencias culturales únicas.,16.05,2025-06-26 a 2025-07-30
Estados Unidos,Salamanca,"Estados Unidos es un mosaico de culturas, naturaleza extensa y metrópolis icónicas.",Hotel Brisas del Sur Salamanca,"Un refugio boutique rodeado de naturaleza, con diseño contemporáneo y ambiente tranquilo.",282.0,5,Playa de Salamanca,Una joya arquitectónica que representa siglos de historia y cultura del país.,31.91,2025-06-26 a 2025-07-13
Canadá,Madrid,"Canadá enamora con sus parques nacionales, lagos cristalinos y vida salvaje.",Villa Real Madrid,"Un elegante hotel con vistas panorámicas, ideal para relajarse y disfrutar de la cultura local.",123.9,3,Mercado local de Madrid,Un destino perfecto para conectar con la naturaleza y capturar fotos inolvidables.,32.08,2025-06-17 a 2025-07-28
Canadá,Málaga,"Canadá enamora con sus parques nacionales, lagos cristalinos y vida salvaje.",Estancia del Mar Málaga,"Un elegante hotel con vistas panorámicas, ideal para relajarse y disfrutar de la cultura local.",155.67,4,Mercado local de Málaga,"Lugar emblemático con gran valor histórico y artístico, ideal para explorar con calma.",31.71,2025-06-08 a 2025-08-28
Chile,Zamora,"Chile sorprende con su geografía diversa, desde el desierto más árido hasta glaciares imponentes.",Hotel Brisas del Sur Zamora,"Perfecto para familias, con habitaciones amplias, piscina y acceso a atracciones cercanas.",67.23,3,Parque Nacional de Zamora,Una joya arquitectónica que representa siglos de historia y cultura del país.,23.31,2025-06-28 a 2025-07-09
Canadá,Tarragona,"Canadá enamora con sus parques nacionales, lagos cristalinos y vida salvaje.",Hotel Brisas del Sur Tarragona,"Perfecto para familias, con habitaciones amplias, piscina y acceso a atracciones cercanas.",182.24,3,Playa de Tarragona,Un destino perfecto para conectar con la naturaleza y capturar fotos inolvidables.,43.92,2025-06-29 a 2025-08-17
Estados Unidos,Lugo,"Estados Unidos es un mosaico de culturas, naturaleza extensa y metrópolis icónicas.",Gran Mirador Lugo,"Un elegante hotel con vistas panorámicas, ideal para relajarse y disfrutar de la cultura local.",280.94,4,Monumento famoso de Lugo,Una joya arquitectónica que representa siglos de historia y cultura del país.,25.45,2025-06-10 a 2025-08-17
España,Guipúzcoa,"España es un país vibrante con una mezcla de historia, arquitectura única y playas impresionantes.",Hotel Azul Marino Guipúzcoa,"Un refugio boutique rodeado de naturaleza, con diseño contemporáneo y ambiente tranquilo.",166.73,4,Rascacielos de Guipúzcoa,Un destino perfecto para conectar con la naturaleza y capturar fotos inolvidables.,17.57,2025-06-17 a 2025-08-06
Brasil,Sevilla,"Brasil vibra con el ritmo del carnaval, playas espectaculares y selvas tropicales.",Palacio del Sol Sevilla,"Un refugio boutique rodeado de naturaleza, con diseño contemporáneo y ambiente tranquilo.",280.17,5,Centro histórico de Sevilla,"Lugar emblemático con gran valor histórico y artístico, ideal para explorar con calma.",11.4,2025-06-14 a 2025-08-13
Egipto,La Coruña,"Egipto es cuna de civilización, con pirámides milenarias y el majestuoso Nilo.",Villa Real La Coruña,"Un elegante hotel con vistas panorámicas, ideal para relajarse y disfrutar de la cultura local.",296.6,5,Templo de La Coruña,Un sitio icónico lleno de belleza natural y vistas impresionantes.,24.09,2025-06-30 a 2025-08-14
Italia,Las Palmas,"Italia es el hogar del arte renacentista, la cocina tradicional y paisajes mediterráneos.",Hotel Brisas del Sur Las Palmas,"Situado junto al mar, combina hospitalidad y paisajes inigualables con excelente gastronomía.",159.87,5,Catedral de Las Palmas,Un sitio icónico lleno de belleza natural y vistas impresionantes.,19.33,2025-06-22 a 2025-08-10
Chile,Cádiz,"Chile sorprende con su geografía diversa, desde el desierto más árido hasta glaciares imponentes.",Gran Mirador Cádiz,"Situado junto al mar, combina hospitalidad y paisajes inigualables con excelente gastronomía.",213.99,4,Parque Nacional de Cádiz,Una atracción reconocida por su ambiente vibrante y experiencias culturales únicas.,30.01,2025-06-08 a 2025-08-04
Perú,Alicante,"Perú, tierra de los Incas, fascina con Machu Picchu, su cultura viva y sabrosa comida criolla.",Palacio del Sol Alicante,"Un refugio boutique rodeado de naturaleza, con diseño contemporáneo y ambiente tranquilo.",54.34,4,Parque Nacional de Alicante,Una joya arquitectónica que representa siglos de historia y cultura del país.,48.14,2025-06-08 a 2025-08-16
Argentina,Sevilla,"Argentina ofrece paisajes imponentes, desde glaciares en el sur hasta cataratas en el norte.",Hotel Azul Marino Sevilla,"Un refugio boutique rodeado de naturaleza, con diseño contemporáneo y ambiente tranquilo.",297.5,5,Museo de Sevilla,Un destino perfecto para conectar con la naturaleza y capturar fotos inolvidables.,21.46,2025-06-03 a 2025-07-27
Argentina,Soria,"Argentina ofrece paisajes imponentes, desde glaciares en el sur hasta cataratas en el norte.",Oasis Urbano Soria,"Ofrece lujo y comodidad en pleno centro, con spa, restaurante gourmet y servicio personalizado.",114.15,5,Catedral de Soria,"Lugar emblemático con gran valor histórico y artístico, ideal para explorar con calma.",39.45,2025-06-08 a 2025-07-23
Japón,Salamanca,"Japón mezcla tradición y tecnología, con templos antiguos y ciudades futuristas.",Hotel Brisas del Sur Salamanca,"Ofrece lujo y comodidad en pleno centro, con spa, restaurante gourmet y servicio personalizado.",188.71,3,Mercado local de Salamanca,Un sitio icónico lleno de belleza natural y vistas impresionantes.,39.1,2025-06-20 a 2025-08-22
Nueva Zelanda,Almería,"Nueva Zelanda es un paraíso natural de montañas, lagos y aventuras extremas.",Hotel Brisas del Sur Almería,"Perfecto para familias, con habitaciones amplias, piscina y acceso a atracciones cercanas.",257.06,4,Playa de Almería,"Lugar emblemático con gran valor histórico y artístico, ideal para explorar con calma.",28.09,2025-06-14 a 2025-07-13
Estados Unidos,Ciudad,"Estados Unidos es un mosaico de culturas, naturaleza extensa y metrópolis icónicas.",Villa Real Ciudad,"Un elegante hotel con vistas panorámicas, ideal para relajarse y disfrutar de la cultura local.",135.84,4,Playa de Ciudad,Una atracción reconocida por su ambiente vibrante y experiencias culturales únicas.,14.27,2025-06-15 a 2025-08-09
Sudáfrica,Málaga,"Sudáfrica combina safaris, montañas y una diversidad cultural extraordinaria.",Refugio del Viajero Málaga,"Un refugio boutique rodeado de naturaleza, con diseño contemporáneo y ambiente tranquilo.",158.56,5,Mercado local de Málaga,Una joya arquitectónica que representa siglos de historia y cultura del país.,28.14,2025-06-15 a 2025-07-19
Argentina,Ourense,"Argentina ofrece paisajes imponentes, desde glaciares en el sur hasta cataratas en el norte.",Refugio del Viajero Ourense,"Perfecto para familias, con habitaciones amplias, piscina y acceso a atracciones cercanas.",111.24,5,Playa de Ourense,Un destino perfecto para conectar con la naturaleza y capturar fotos inolvidables.,47.21,2025-06-13 a 2025-07-21
Tailandia,Segovia,"Tailandia es conocida por sus templos dorados, playas turquesas y exótica gastronomía.",Hotel Azul Marino Segovia,"Perfecto para familias, con habitaciones amplias, piscina y acceso a atracciones cercanas.",125.74,4,Mercado local de Segovia,Un sitio icónico lleno de belleza natural y vistas impresionantes.,40.4,2025-06-18 a 2025-08-01
Tailandia,Lleida,"Tailandia es conocida por sus templos dorados, playas turquesas y exótica gastronomía.",Oasis Urbano Lleida,"Ofrece lujo y comodidad en pleno centro, con spa, restaurante gourmet y servicio personalizado.",247.06,5,Templo de Lleida,Un sitio icónico lleno de belleza natural y vistas impresionantes.,43.49,2025-06-02 a 2025-08-25
Canadá,Granada,"Canadá enamora con sus parques nacionales, lagos cristalinos y vida salvaje.",Gran Mirador Granada,"Perfecto para familias, con habitaciones amplias, piscina y acceso a atracciones cercanas.",150.67,5,Parque Nacional de Granada,"Lugar emblemático con gran valor histórico y artístico, ideal para explorar con calma.",11.37,2025-06-22 a 2025-08-29
Estados Unidos,Santa Cruz de Tenerife,"Estados Unidos es un mosaico de culturas, naturaleza extensa y metrópolis icónicas.",Villa Real Santa Cruz de Tenerife,"Situado junto al mar, combina hospitalidad y paisajes inigualables con excelente gastronomía.",216.55,3,Castillo de Santa Cruz de Tenerife,Una atracción reconocida por su ambiente vibrante y experiencias culturales únicas.,39.74,2025-06-06 a 2025-08-22
India,Badajoz,"India deslumbra con su espiritualidad, templos, colores y sabores intensos.",Hotel Azul Marino Badajoz,"Un refugio boutique rodeado de naturaleza, con diseño contemporáneo y ambiente tranquilo.",186.95,5,Templo de Badajoz,Una joya arquitectónica que representa siglos de historia y cultura del país.,38.28,2025-06-29 a 2025-08-04
España,Valladolid,"España es un país vibrante con una mezcla de historia, arquitectura única y playas impresionantes.",Hotel Azul Marino Valladolid,"Situado junto al mar, combina hospitalidad y paisajes inigualables con excelente gastronomía.",104.9,5,Monumento famoso de Valladolid,Una joya arquitectónica que representa siglos de historia y cultura del país.,35.12,2025-06-02 a 2025-07-10
India,Salamanca,"India deslumbra con su espiritualidad, templos, colores y sabores intensos.",Villa Real Salamanca,"Situado junto al mar, combina hospitalidad y paisajes inigualables con excelente gastronomía.",215.58,5,Templo de Salamanca,Una joya arquitectónica que representa siglos de historia y cultura del país.,29.98,2025-06-08 a 2025-07-17
Brasil,Soria,"Brasil vibra con el ritmo del carnaval, playas espectaculares y selvas tropicales.",Palacio del Sol Soria,"Perfecto para familias, con habitaciones amplias, piscina y acceso a atracciones cercanas.",96.09,3,Rascacielos de Soria,Una joya arquitectónica que representa siglos de historia y cultura del país.,14.63,2025-06-23 a 2025-07-15
Tailandia,Castellón,"Tailandia es conocida por sus templos dorados, playas turquesas y exótica gastronomía.",Hotel Azul Marino Castellón,"Ofrece lujo y comodidad en pleno centro, con spa, restaurante gourmet y servicio personalizado.",119.58,4,Catedral de Castellón,"Lugar emblemático con gran valor histórico y artístico, ideal para explorar con calma.",34.21,2025-06-18 a 2025-08-07
Corea del Sur,Las Palmas,"Corea del Sur ofrece cultura pop, comida deliciosa y paisajes de montaña.",Hotel Horizonte Las Palmas,"Un refugio boutique rodeado de naturaleza, con diseño contemporáneo y ambiente tranquilo.",265.13,5,Playa de Las Palmas,Una atracción reconocida por su ambiente vibrante y experiencias culturales únicas.,45.9,2025-06-13 a 2025-08-02
Colombia,León,"Colombia es un paraíso lleno de música, montañas verdes y pueblos coloridos.",Hotel Horizonte León,"Un refugio boutique rodeado de naturaleza, con diseño contemporáneo y ambiente tranquilo.",275.95,4,Catedral de León,Una atracción reconocida por su ambiente vibrante y experiencias culturales únicas.,46.03,2025-06-21 a 2025-08-11
India,Castellón,"India deslumbra con su espiritualidad, templos, colores y sabores intensos.",Estancia del Mar Castellón,"Un refugio boutique rodeado de naturaleza, con diseño contemporáneo y ambiente tranquilo.",69.84,5,Museo de Castellón,Un sitio icónico lleno de belleza natural y vistas impresionantes.,30.8,2025-06-16 a 2025-07-09
Perú,Ceuta,"Perú, tierra de los Incas, fascina con Machu Picchu, su cultura viva y sabrosa comida criolla.",Palacio del Sol Ceuta,"Perfecto para familias, con habitaciones amplias, piscina y acceso a atracciones cercanas.",244.35,3,Monumento famoso de Ceuta,Un sitio icónico lleno de belleza natural y vistas impresionantes.,38.96,2025-06-26 a 2025-08-02
Corea del Sur,Salamanca,"Corea del Sur ofrece cultura pop, comida deliciosa y paisajes de montaña.",Gran Mirador Salamanca,"Perfecto para familias, con habitaciones amplias, piscina y acceso a atracciones cercanas.",129.97,5,Rascacielos de Salamanca,Un destino perfecto para conectar con la naturaleza y capturar fotos inolvidables.,14.91,2025-06-14 a 2025-08-07
Francia,Guadalajara,"Francia encanta con sus castillos, viñedos, y la romántica ciudad de París.",Hotel Brisas del Sur Guadalajara,"Un elegante hotel con vistas panorámicas, ideal para relajarse y disfrutar de la cultura local.",161.77,3,Monumento famoso de Guadalajara,Una joya arquitectónica que representa siglos de historia y cultura del país.,14.18,2025-06-08 a 2025-08-11
Perú,Asturias,"Perú, tierra de los Incas, fascina con Machu Picchu, su cultura viva y sabrosa comida criolla.",Hotel Brisas del Sur Asturias,"Un refugio boutique rodeado de naturaleza, con diseño contemporáneo y ambiente tranquilo.",82.3,3,Monumento famoso de Asturias,"Lugar emblemático con gran valor histórico y artístico, ideal para explorar con calma.",16.05,2025-06-20 a 2025-07-31
Brasil,Asturias,"Brasil vibra con el ritmo del carnaval, playas espectaculares y selvas tropicales.",Casa de los Sueños Asturias,"Un elegante hotel con vistas panorámicas, ideal para relajarse y disfrutar de la cultura local.",267.04,3,Museo de Asturias,"Lugar emblemático con gran valor histórico y artístico, ideal para explorar con calma.",42.69,2025-06-12 a 2025-07-29
Japón,Toledo,"Japón mezcla tradición y tecnología, con templos antiguos y ciudades futuristas.",Hotel Brisas del Sur Toledo,"Situado junto al mar, combina hospitalidad y paisajes inigualables con excelente gastronomía.",154.11,4,Monumento famoso de Toledo,"Lugar emblemático con gran valor histórico y artístico, ideal para explorar con calma.",45.87,2025-06-02 a 2025-07-13
Egipto,Madrid,"Egipto es cuna de civilización, con pirámides milenarias y el majestuoso Nilo.",Hotel Brisas del Sur Madrid,"Situado junto al mar, combina hospitalidad y paisajes inigualables con excelente gastronomía.",212.6,5,Templo de Madrid,Un destino perfecto para conectar con la naturaleza y capturar fotos inolvidables.,26.75,2025-06-26 a 2025-08-10
Perú,Jaén,"Perú, tierra de los Incas, fascina con Machu Picchu, su cultura viva y sabrosa comida criolla.",Hotel Horizonte Jaén,"Situado junto al mar, combina hospitalidad y paisajes inigualables con excelente gastronomía.",287.28,5,Rascacielos de Jaén,Un sitio icónico lleno de belleza natural y vistas impresionantes.,45.86,2025-06-02 a 2025-07-06
Corea del Sur,La Coruña,"Corea del Sur ofrece cultura pop, comida deliciosa y paisajes de montaña.",Casa de los Sueños La Coruña,"Perfecto para familias, con habitaciones amplias, piscina y acceso a atracciones cercanas.",263.31,3,Rascacielos de La Coruña,Un destino perfecto para conectar con la naturaleza y capturar fotos inolvidables.,32.31,2025-06-25 a 2025-07-05
Alemania,Cádiz,"Alemania combina bosques, castillos medievales y ciudades modernas llenas de historia.",Hotel Azul Marino Cádiz,"Un elegante hotel con vistas panorámicas, ideal para relajarse y disfrutar de la cultura local.",91.74,3,Templo de Cádiz,Una joya arquitectónica que representa siglos de historia y cultura del país.,43.76,2025-06-17 a 2025-07-26
Estados Unidos,Salamanca,"Estados Unidos es un mosaico de culturas, naturaleza extensa y metrópolis icónicas.",Hotel Azul Marino Salamanca,"Situado junto al mar, combina hospitalidad y paisajes inigualables con excelente gastronomía.",62.72,3,Parque Nacional de Salamanca,"Lugar emblemático con gran valor histórico y artístico, ideal para explorar con calma.",37.47,2025-06-25 a 2025-07-24
Australia,Córdoba,"Australia impresiona con la Gran Barrera de Coral, playas vírgenes y vida salvaje única.",Estancia del Mar Córdoba,"Un refugio boutique rodeado de naturaleza, con diseño contemporáneo y ambiente tranquilo.",197.22,4,Monumento famoso de Córdoba,Un destino perfecto para conectar con la naturaleza y capturar fotos inolvidables.,15.27,2025-06-02 a 2025-08-08
Sudáfrica,Las Palmas,"Sudáfrica combina safaris, montañas y una diversidad cultural extraordinaria.",Oasis Urbano Las Palmas,"Un refugio boutique rodeado de naturaleza, con diseño contemporáneo y ambiente tranquilo.",88.04,4,Playa de Las Palmas,Una joya arquitectónica que representa siglos de historia y cultura del país.,10.73,2025-06-15 a 2025-07-21
Italia,Santa Cruz de Tenerife,"Italia es el hogar del arte renacentista, la cocina tradicional y paisajes mediterráneos.",Estancia del Mar Santa Cruz de Tenerife,"Perfecto para familias, con habitaciones amplias, piscina y acceso a atracciones cercanas.",91.46,3,Catedral de Santa Cruz de Tenerife,Una joya arquitectónica que representa siglos de historia y cultura del país.,43.17,2025-06-26 a 2025-07-24
Perú,Murcia,"Perú, tierra de los Incas, fascina con Machu Picchu, su cultura viva y sabrosa comida criolla.",Refugio del Viajero Murcia,"Un refugio boutique rodeado de naturaleza, con diseño contemporáneo y ambiente tranquilo.",267.59,5,Museo de Murcia,Un sitio icónico lleno de belleza natural y vistas impresionantes.,12.47,2025-06-25 a 2025-08-15
Australia,Jaén,"Australia impresiona con la Gran Barrera de Coral, playas vírgenes y vida salvaje única.",Villa Real Jaén,"Situado junto al mar, combina hospitalidad y paisajes inigualables con excelente gastronomía.",217.61,4,Templo de Jaén,"Lugar emblemático con gran valor histórico y artístico, ideal para explorar con calma.",11.65,2025-06-18 a 2025-07-21
Corea del Sur,Segovia,"Corea del Sur ofrece cultura pop, comida deliciosa y paisajes de montaña.",Hotel Horizonte Segovia,"Un elegante hotel con vistas panorámicas, ideal para relajarse y disfrutar de la cultura local.",162.55,5,Museo de Segovia,"Lugar emblemático con gran valor histórico y artístico, ideal para explorar con calma.",18.39,2025-06-25 a 2025-07-02
Japón,Barcelona,"Japón mezcla tradición y tecnología, con templos antiguos y ciudades futuristas.",Casa de los Sueños Barcelona,"Un refugio boutique rodeado de naturaleza, con diseño contemporáneo y ambiente tranquilo.",152.86,3,Parque Nacional de Barcelona,Un sitio icónico lleno de belleza natural y vistas impresionantes.,37.74,2025-06-05 a 2025-07-25
Brasil,Tarragona,"Brasil vibra con el ritmo del carnaval, playas espectaculares y selvas tropicales.",Hotel Horizonte Tarragona,"Situado junto al mar, combina hospitalidad y paisajes inigualables con excelente gastronomía.",85.92,5,Mercado local de Tarragona,Una joya arquitectónica que representa siglos de historia y cultura del país.,31.43,2025-06-12 a 2025-07-10
India,Ávila,"India deslumbra con su espiritualidad, templos, colores y sabores intensos.",Hotel Horizonte Ávila,"Situado junto al mar, combina hospitalidad y paisajes inigualables con excelente gastronomía.",242.13,3,Mercado local de Ávila,Un sitio icónico lleno de belleza natural y vistas impresionantes.,40.63,2025-06-20 a 2025-07-20
Francia,Ciudad,"Francia encanta con sus castillos, viñedos, y la romántica ciudad de París.",Gran Mirador Ciudad,"Un refugio boutique rodeado de naturaleza, con diseño contemporáneo y ambiente tranquilo.",287.8,5,Parque Nacional de Ciudad,Un destino perfecto para conectar con la naturaleza y capturar fotos inolvidables.,44.94,2025-06-20 a 2025-08-19
Tailandia,Cantabria,"Tailandia es conocida por sus templos dorados, playas turquesas y exótica gastronomía.",Hotel Azul Marino Cantabria,"Ofrece lujo y comodidad en pleno centro, con spa, restaurante gourmet y servicio personalizado.",132.64,4,Castillo de Cantabria,Una atracción reconocida por su ambiente vibrante y experiencias culturales únicas.,23.93,2025-06-02 a 2025-07-09
Argentina,Guipúzcoa,"Argentina ofrece paisajes imponentes, desde glaciares en el sur hasta cataratas en el norte.",Hotel Brisas del Sur Guipúzcoa,"Situado junto al mar, combina hospitalidad y paisajes inigualables con excelente gastronomía.",53.44,5,Museo de Guipúzcoa,Un destino perfecto para conectar con la naturaleza y capturar fotos inolvidables.,30.33,2025-06-12 a 2025-07-24
Perú,Murcia,"Perú, tierra de los Incas, fascina con Machu Picchu, su cultura viva y sabrosa comida criolla.",Gran Mirador Murcia,"Situado junto al mar, combina hospitalidad y paisajes inigualables con excelente gastronomía.",195.71,5,Monumento famoso de Murcia,Una joya arquitectónica que representa siglos de historia y cultura del país.,44.06,2025-06-26 a 2025-08-07
España,Asturias,"España es un país vibrante con una mezcla de historia, arquitectura única y playas impresionantes.",Gran Mirador Asturias,"Perfecto para familias, con habitaciones amplias, piscina y acceso a atracciones cercanas.",278.11,4,Templo de Asturias,"Lugar emblemático con gran valor histórico y artístico, ideal para explorar con calma.",15.12,2025-06-11 a 2025-07-06
Japón,Alicante,"Japón mezcla tradición y tecnología, con templos antiguos y ciudades futuristas.",Casa de los Sueños Alicante,"Un elegante hotel con vistas panorámicas, ideal para relajarse y disfrutar de la cultura local.",208.33,5,Castillo de Alicante,"Lugar emblemático con gran valor histórico y artístico, ideal para explorar con calma.",14.28,2025-06-07 a 2025-08-23
Australia,Zamora,"Australia impresiona con la Gran Barrera de Coral, playas vírgenes y vida salvaje única.",Hotel Brisas del Sur Zamora,"Un refugio boutique rodeado de naturaleza, con diseño contemporáneo y ambiente tranquilo.",190.69,5,Catedral de Zamora,"Lugar emblemático con gran valor histórico y artístico, ideal para explorar con calma.",31.29,2025-06-21 a 2025-07-18
India,Palencia,"India deslumbra con su espiritualidad, templos, colores y sabores intensos.",Casa de los Sueños Palencia,"Situado junto al mar, combina hospitalidad y paisajes inigualables con excelente gastronomía.",278.17,4,Playa de Palencia,Una atracción reconocida por su ambiente vibrante y experiencias culturales únicas.,11.42,2025-06-22 a 2025-07-12
